"coord_id","tech_typ","sampled"
1,"Wind Offshore",TRUE
2,"Wind Onshore",TRUE
3,"Wind Onshore",TRUE
4,"Wind Offshore",TRUE
5,"Wind Offshore",TRUE
6,"Wind Offshore",TRUE
7,"Wind Offshore",TRUE
8,"Wind Onshore",TRUE
9,"Wind Offshore",FALSE
10,"Wind Onshore",FALSE
11,"Wind Onshore",TRUE
12,"Wind Onshore",TRUE
13,"Wind Onshore",TRUE
14,"Wind Onshore",FALSE
15,"Wind Onshore",TRUE
16,"Wind Onshore",TRUE
17,"Wind Onshore",FALSE
18,"Wind Onshore",TRUE
19,"Wind Offshore",TRUE
20,"Wind Onshore",TRUE
21,"Wind Onshore",TRUE
22,"Wind Onshore",TRUE
23,"Wind Onshore",FALSE
24,"Wind Onshore",TRUE
25,"Wind Offshore",FALSE
26,"Wind Onshore",TRUE
27,"Wind Onshore",TRUE
28,"Wind Onshore",TRUE
29,"Wind Offshore",TRUE
30,"Wind Onshore",TRUE
31,"Wind Offshore",TRUE
32,"Wind Onshore",TRUE
33,"Wind Offshore",FALSE
34,"Wind Offshore",FALSE
35,"Wind Onshore",TRUE
36,"Wind Onshore",TRUE
37,"Wind Onshore",TRUE
38,"Wind Onshore",TRUE
39,"Wind Onshore",FALSE
40,"Wind Onshore",TRUE
41,"Wind Offshore",FALSE
42,"Wind Onshore",TRUE
43,"Wind Onshore",TRUE
44,"Wind Offshore",TRUE
45,"Wind Onshore",TRUE
46,"Wind Onshore",TRUE
47,"Wind Onshore",TRUE
48,"Wind Offshore",TRUE
49,"Wind Onshore",TRUE
50,"Wind Onshore",TRUE
51,"Wind Onshore",FALSE
52,"Wind Onshore",FALSE
53,"Wind Offshore",TRUE
54,"Wind Onshore",TRUE
55,"Wind Offshore",FALSE
56,"Wind Onshore",TRUE
57,"Wind Onshore",TRUE
58,"Wind Offshore",TRUE
59,"Wind Onshore",FALSE
60,"Wind Offshore",TRUE
61,"Wind Onshore",TRUE
62,"Wind Offshore",FALSE
63,"Wind Onshore",TRUE
64,"Wind Onshore",TRUE
65,"Wind Onshore",TRUE
66,"Wind Onshore",TRUE
67,"Wind Onshore",FALSE
68,"Wind Onshore",TRUE
69,"Wind Onshore",FALSE
70,"Wind Onshore",TRUE
71,"Wind Onshore",TRUE
72,"Wind Onshore",FALSE
73,"Wind Onshore",TRUE
74,"Wind Onshore",TRUE
75,"Wind Onshore",TRUE
76,"Wind Onshore",FALSE
77,"Wind Onshore",TRUE
78,"Wind Onshore",TRUE
79,"Wind Onshore",TRUE
80,"Wind Onshore",TRUE
81,"Wind Onshore",TRUE
82,"Wind Onshore",FALSE
83,"Wind Onshore",TRUE
84,"Wind Onshore",TRUE
85,"Wind Onshore",TRUE
86,"Wind Onshore",TRUE
87,"Wind Onshore",TRUE
88,"Wind Onshore",FALSE
89,"Wind Onshore",FALSE
90,"Wind Onshore",TRUE
91,"Wind Onshore",TRUE
92,"Wind Onshore",TRUE
93,"Wind Onshore",TRUE
94,"Wind Onshore",TRUE
95,"Wind Onshore",TRUE
96,"Wind Onshore",TRUE
97,"Wind Onshore",FALSE
98,"Wind Onshore",TRUE
99,"Wind Onshore",TRUE
100,"Wind Onshore",TRUE
101,"Wind Onshore",FALSE
102,"Wind Onshore",FALSE
103,"Wind Onshore",TRUE
104,"Wind Onshore",FALSE
105,"Wind Onshore",TRUE
106,"Wind Onshore",TRUE
107,"Wind Onshore",TRUE
108,"Wind Onshore",TRUE
109,"Wind Onshore",FALSE
110,"Wind Onshore",TRUE
111,"Wind Onshore",TRUE
112,"Wind Onshore",TRUE
113,"Wind Onshore",TRUE
114,"Wind Onshore",TRUE
115,"Wind Onshore",TRUE
116,"Wind Onshore",TRUE
117,"Wind Onshore",TRUE
118,"Wind Onshore",FALSE
119,"Wind Onshore",TRUE
120,"Wind Onshore",TRUE
121,"Wind Onshore",TRUE
122,"Wind Onshore",FALSE
123,"Wind Onshore",TRUE
124,"Wind Onshore",TRUE
125,"Wind Onshore",TRUE
126,"Wind Onshore",TRUE
127,"Wind Onshore",TRUE
128,"Wind Onshore",TRUE
129,"Wind Onshore",TRUE
130,"Wind Onshore",TRUE
131,"Wind Offshore",TRUE
132,"Wind Offshore",TRUE
133,"Wind Offshore",TRUE
134,"Wind Offshore",TRUE
135,"Wind Offshore",FALSE
136,"Wind Offshore",TRUE
137,"Wind Offshore",TRUE
138,"Wind Offshore",TRUE
139,"Wind Offshore",TRUE
140,"Wind Offshore",TRUE
141,"Wind Offshore",TRUE
142,"Wind Offshore",TRUE
143,"Wind Offshore",TRUE
144,"Wind Offshore",TRUE
145,"Wind Offshore",TRUE
146,"Wind Offshore",TRUE
147,"Wind Offshore",TRUE
