name,bmu_id,rep_id,rep_id2,rep_id3
Seagreen,T_SGRWO-1,2540,,
Seagreen,T_SGRWO-2,2540,,
Seagreen,T_SGRWO-3,2540,,
Seagreen,T_SGRWO-4,2540,,
Seagreen,T_SGRWO-5,2540,,
Seagreen,T_SGRWO-6,2540,,
South Kyle,T_SOKYW-1,4586,,
Dogger Bank,T_DBAWO-1,2541,,
Dogger Bank,T_DBAWO-2,2541,,
Dogger Bank,T_DBAWO-3,2541,,
Dogger Bank,T_DBAWO-4,2541,,
Dogger Bank,T_DBAWO-5,2541,,
Gunfleet Sands,T_GNFSW-1,2490,,
Gunfleet Sands,T_GNFSW-2,2490,,
Robin Rigg,T_RRWW-1,2497,,
Robin Rigg,T_RREW-1,2496,,
Dunmaglass,T_DUNGW-1,4118,,
Barrow,T_BOWLW-1,2546,,
Gordonbush,T_GORDW-1,3662,,
Gordonbush,T_GORDW-2,3435,,
Viking,T_VKNGW-1,6828,,
Viking,T_VKNGW-2,6828,,
Viking,T_VKNGW-3,6828,,
Viking,T_VKNGW-4,6828,,
Kincardine,E_KINCW-1,6136,,
Kype Muir,T_KYPEW-1,4628,,
Kennoxhead,T_KENNW-1,4385,,
Braes of Doune,E_BRDUW-1,3119,,
Camster,2__PEDGE003,4006,,
Corriegarth,T_CGTHW-1,4664,,
Creag Riabhach,T_CREAW-1,4300,,
Kilbraur,T_KILBW-1,3202,2673,
Tom na Clach,C__PSTAT011,4420,,
Strathy North,T_STRNW-1,4625,,
Millennium,T_MILWW-1,4682,2723,3598
Mid Hill,2__PSTAT002,4667,4627,
Cumberhead,T_CUMHW-1,5455,,
Hywind,E_HYWDW-1,2479,,
Sandy Knowe,T_SAKNW-1,6703,,
Galawhistle,T_GLWSW-1,4368,,
HARBURNHEAD,E_HBHDW-1,4225,,
Limekiln,T_LIMKW-1,6005,7708,
Windy Rig,T_WDRGW-1,7562,,
MIDDLE MUIR,T_MIDMW-1,4440,,
Hill of Towie,E_HLTWW-1,4014,,
Carraig Gheal,T_CRGHW-1,4619,,
Moy,E_MOYEW-1,3647,,
Beinn an Tuirc III,E_BTUIW-3,3387,,
Twenty Shilling,T_TWSHW-1,6590,,
Mark Hill,T_MKHLW-1,3260,,
Blary Hill,E_BLARW-1,4605,,
Farr Unit 1,T_FARR-1,4676,,
Farr Unit 2,T_FARR-2,4676,,
AChruach,T_ACHRW-1,4331,,
Bad a Cheo,T_BDCHW-1,4646,,
Cairn Uish 2,2__PSTAT001,3951,,
Auchrobert,E_ABRTW-1,4337,,
Dalquhandy,T_DALQW-1,5393,,
GLEN KYLLACHY,T_GLNKW-1,4371,,
North Kyle,T_NOKYW-1,6607,,
Solwaybank,E_SWBKW-1,4449,,
Greengairs East,E_GRGRW-1,4213,,
Douglas West,T_DOUGW-1,5393,,
Whiteside Hill,T_WHIHW-1,4502,,
Minsca,E_MINSW-1,4517,,
Beinn An Tuirc 2,E_BTUIW-2,4525,,
Pines Burn,E_PIBUW-1,6147,,
Broken Cross,T_BROCW-1,6708,,
Coire Na Cloiche,E_CNCLW-1,3846,,
Corriemoillie,T_CRMLW-1,4120,,
Glenchamber,E_GLCHW-1,4638,,
Freasdail,T_FSDLW-1,3886,,
Goole Fields,E_GFLDW-1,4373,,
Assel Valley,E_ASLVW-1,4645,,
Burn of Whilk,E_BNWKW-1,4122,,
Toddleburn,T_TDBNW-1,3457,,
North Kyle,T_NOKYW-2,6607,,
Hare Hill Extension,E_HRHLW-1,4157,,
Crossdykes,T_CRDEW-1,4633,,
Minnygap,T_MYGPW-1,4437,,
Glens of Foudland,E_GLOFW-1,3311,,
Beinn Tharsuinn,E_BETHW-1,4669,,
Glen App,T_GNAPW-1,4593,,
Crossdykes,T_CRDEW-2,4633,,
Tralorg,T_TRLGW-1,4073,,
Tullo Extension,E_TULWW-2,4365,,
Rosehall,2__PEDGE004,4051,,
Halsary,T_HALSW-1,4636,,
Tullo,E_TULWW-1,3190,,
Tullymurdoch,E_TLYMW-1,4599,,
Gordonstown,E_GDSTW-1,3666,,
Pogbie,T_PGBIW-1,4434,5637,
Clachan Flats,E_CLFLW-1,3448,,
Craig 2,E_CRGTW-1,4465,,
KEITH HILL,T_KTHLW-1,4516,,
Hagshaw,T_HAHAW-1,3220,,
,2__NNATP001,,,
Rothes,2__PENEC001,3534,,
Pauls Hill,2__PENEC002,4687,,
Causeymire,2__PSMAE001,3108,,
,2__PSMAR001,,,
Gwynt y Mor,T_GYMRD-2,2543,,
Gwynt y Mor,T_GYMRD-W10,2543,,
Gwynt y Mor,T_GYMRD-E10,2543,,
Gwynt y Mor,T_GYMRD-16,2543,,
Gwynt y Mor,T_GYMRD-E11,2543,,
Gwynt y Mor,T_GYMRD-W11,2543,,
Carraig Gheal,T_CRGHD-1,4619,,
Griffin,T_GRIFWD-1,4028,,
Fallago Rig,T_FALGD-1,4059,,
Benbrack,T_BENBW-1,3503,,
