"date","norm_power_est0","norm_potential","ws_h_wmean","capacity","p_group3","p_group7"
2025-08-17,0.200075025492399,0.0983318496297975,5.20177934221316,22348.355,"low","(-Inf,0.101]"
2025-01-21,0.273133929933143,0.146884354867019,6.16630237301741,21446.3341666667,"low","(0.101,0.157]"
2025-05-01,0.314550094275986,0.17814509252977,6.54648694720961,20646.4633333333,"low","(0.157,0.182]"
2025-01-31,0.282666507163216,0.156624195465309,6.06533094981053,21748.855,"low","(0.101,0.157]"
2025-04-07,0.170634794542703,0.0879190959119515,4.77785880624341,21302.055,"low","(-Inf,0.101]"
2025-06-15,0.480947879671941,0.280842985551092,8.10176761952829,21132.105,"mid","(0.182,0.523]"
2025-08-29,0.453679601274817,0.26846709617122,7.61863450751465,21700.6883333333,"mid","(0.182,0.523]"
2025-03-17,0.392593939845306,0.246325900451618,7.03471171106488,21748.855,"mid","(0.182,0.523]"
2025-05-18,0.351289395790023,0.239320105586565,7.12323686170437,21499.855,"mid","(0.182,0.523]"
2025-09-06,0.6134518584411,0.399004402550112,9.74645346335219,21743.6883333333,"mid","(0.182,0.523]"
2025-02-21,0.974429237593973,0.807286435322913,16.5831466526315,21381.355,"high","(0.672, Inf]"
2025-06-04,0.838458732791985,0.577601513955851,11.3913935462997,21926.855,"high","(0.569,0.672]"
2025-09-16,0.772784567289311,0.632336689471579,11.9345432655184,21921.355,"high","(0.569,0.672]"
2025-01-27,0.711499797761892,0.554991348063731,12.9326407512205,21320.6883333333,"high","(0.523,0.569]"
2025-07-05,0.836754314510883,0.601375613982607,11.6403108671594,21635.355,"high","(0.569,0.672]"
